TeamID,W,L,HOME,ROAD,RS,RA,B AVG,Hits,ERA,SO,OBP,SLG
1,97,65,54-27,43-38,783,596,0.269,1494,3.42,1254,0.332,0.401
2,97,65,53-28,44-37,853,656,0.277,1566,3.79,1294,0.349,0.446
3,96,66,56-25,40-41,688,548,0.249,1354,3.18,1232,0.321,0.402
4,96,66,52-29,44-37,767,625,0.254,1403,3.56,1183,0.327,0.419
5,94,68,50-31,44-37,634,577,0.245,1346,3.26,1261,0.313,0.396
6,93,69,51-30,42-39,796,624,0.283,1625,3.61,1428,0.346,0.434
7,92,70,47-34,45-36,649,582,0.264,1447,3.25,1292,0.326,0.396
8,92,70,51-30,41-40,745,662,0.255,1391,3.82,1379,0.327,0.41
9,92,71,51-30,41-41,700,646,0.257,1421,3.74,1310,0.329,0.408
10,91,72,46-36,45-36,730,636,0.262,1465,3.62,1309,0.323,0.412
11,90,72,49-31,41-41,698,589,0.249,1370,3.38,1296,0.327,0.391
12,86,76,47-34,39-42,656,626,0.251,1365,3.59,1236,0.313,0.398
13,86,76,44-37,42-39,648,601,0.26,1443,3.45,1208,0.315,0.379
14,85,77,46-35,39-42,650,671,0.242,1321,3.94,1233,0.307,0.376
15,85,77,46-35,39-42,745,709,0.26,1460,4.2,1169,0.313,0.431
16,81,81,45-36,36-45,685,695,0.259,1468,3.92,1218,0.323,0.391
17,78,84,39-42,39-42,733,737,0.264,1476,4.23,1200,0.329,0.414
18,76,86,42-40,34-46,629,691,0.26,1446,4,1256,0.32,0.381
19,76,86,45-36,31-50,618,700,0.245,1349,3.98,1171,0.308,0.378
20,74,88,45-36,29-52,706,760,0.27,1511,4.44,1064,0.323,0.418
21,74,88,37-44,37-44,640,687,0.252,1381,3.84,1125,0.311,0.398
22,74,88,40-41,34-47,712,756,0.252,1398,4.25,1208,0.318,0.411
23,74,88,33-48,41-40,619,684,0.237,1318,3.77,1209,0.306,0.366
24,73,89,43-38,30-51,610,749,0.248,1355,4.32,1199,0.306,0.384
25,71,91,36-45,35-46,624,754,0.237,1318,4.31,1297,0.306,0.39
26,66,96,32-49,34-47,614,788,0.242,1346,4.55,985,0.312,0.38
27,66,96,31-50,35-46,602,689,0.238,1307,4,1184,0.3,0.392
28,63,99,37-44,26-55,598,723,0.249,1385,3.98,1249,0.302,0.378
29,62,100,36-45,26-55,513,646,0.231,1257,3.71,1177,0.293,0.335
30,51,111,24-57,27-54,610,848,0.24,1307,4.79,1084,0.299,0.375
